architecture,model_seed,split,policy,missing_only_precision,missing_only_recall,event5_f1,event6_f1,integrity_top1_events5_6,physical_event6_top1,global_false_alarm_episodes_per_min,global_abnormal_f1
typed,29,validation,availability_gate_plus_learned,0.5057471264367817,1.0,0.6717557251908397,0.9400921658986175,0.9717153284671532,0.8,3.9155858730323123,0.9807529354799661
typed,29,test,learned_only,0.0,0.0,0.0,0.9419206440483037,0.7609489051094891,0.7326086956521739,3.7757435204240153,0.9668548981095016
typed,29,test,availability_gate_plus_learned,0.5146198830409356,1.0,0.6795366795366795,0.9633802816901409,0.9981751824817519,0.7684782608695652,3.7757435204240153,0.9806201550387597
typed_topology,29,validation,learned_only,0.0,0.0,0.0,0.909952606635071,0.7299270072992701,0.7978260869565217,3.9155858730323123,0.9668711656441717
typed_topology,29,validation,availability_gate_plus_learned,0.5057471264367817,1.0,0.6717557251908397,0.9400921658986175,0.9771897810218978,0.8239130434782609,3.9155858730323123,0.9807529354799661
typed_topology,29,test,learned_only,0.0,0.0,0.0,0.9419206440483037,0.760036496350365,0.8021739130434783,3.7757435204240153,0.9668548981095016
typed_topology,29,test,availability_gate_plus_learned,0.5146198830409356,1.0,0.6795366795366795,0.9633802816901409,0.9981751824817519,0.8293478260869566,3.7757435204240153,0.9806201550387597
flat,47,validation,learned_only,0.01818181818181818,0.017045454545454544,0.017595307917888565,0.9233469865418373,0.75,0.85,2.2374776417327498,0.9747069710055521
flat,47,validation,availability_gate_plus_learned,0.4631578947368421,1.0,0.6330935251798561,0.9503707929264119,0.9863138686131386,0.85,2.2374776417327498,0.9881278538812786
flat,47,test,learned_only,0.0,0.0,0.0,0.9431361286616887,0.7700729927007299,0.8141304347826087,3.216374109990828,0.9760305625731714
flat,47,test,availability_gate_plus_learned,0.45478036175710596,1.0,0.6252220248667851,0.9645469893078221,1.0,0.8141304347826087,3.216374109990828,0.989480085132259
typed,47,validation,learned_only,0.0,0.0,0.0,0.9121979964643488,0.7253649635036497,0.7673913043478261,4.614797636073797,0.9654283082591342
typed,47,validation,availability_gate_plus_learned,0.39819004524886875,1.0,0.56957928802589,0.9366359447004609,0.9844890510948905,0.8054347826086956,4.614797636073797,0.9795893646659802
typed,47,test,learned_only,0.0,0.0,0.0,0.93279258400927,0.7454379562043796,0.75,4.4749552834654995,0.965843469713724
typed,47,test,availability_gate_plus_learned,0.3902439024390244,1.0,0.5614035087719298,0.9528140989198408,0.9917883211678832,0.782608695652174,4.4749552834654995,0.9796338950175779
typed_topology,47,validation,learned_only,0.0,0.0,0.0,0.9121979964643488,0.7363138686131386,0.7739130434782608,4.614797636073797,0.9654283082591342
typed_topology,47,validation,availability_gate_plus_learned,0.39819004524886875,1.0,0.56957928802589,0.9366359447004609,0.9844890510948905,0.8,4.614797636073797,0.9795893646659802
typed_topology,47,test,learned_only,0.0,0.0,0.0,0.93279258400927,0.7554744525547445,0.8,4.4749552834654995,0.965843469713724
typed_topology,47,test,availability_gate_plus_learned,0.3902439024390244,1.0,0.5614035087719298,0.9528140989198408,0.9917883211678832,0.8228260869565217,4.4749552834654995,0.9796338950175779
