family,m,method,n,mean_TVE_percent,median_TVE_percent,p95_TVE_percent,bootstrap95_low_percent,bootstrap95_high_percent,mean_angle_RMSE_deg,mean_magnitude_RMSE,mean_coverage95
M1_NETWORK,1.25,B2,20,0.19907287799950077,0.20729048342793704,0.22180480888365017,0.1885038146396562,0.20915909143890316,0.16423755154150194,0.001065637948835698,0.4202764976958525
M1_NETWORK,1.25,B2-U2,20,0.19907287799950077,0.20729048342793704,0.22180480888365017,0.18874132268895083,0.2090502662925229,0.16423755154150194,0.001065637948835698,0.053154909606522506
M1_NETWORK,1.5,B1,20,0.24285279912170274,0.25011834493351115,0.26165371886182154,0.23403518530938,0.2516263924162052,0.19932044015112194,0.0012754050202435506,
M1_NETWORK,1.5,B2,20,0.24207833386788177,0.2504303400978027,0.2653419139458438,0.23290414308679555,0.2523607270514791,0.19829334559979214,0.0012669792524345142,0.28192130450194963
M1_NETWORK,1.5,B2-U2,20,0.24207833386788177,0.2504303400978027,0.2653419139458438,0.23138445681186184,0.2523021622478294,0.19829334559979214,0.0012669792524345142,0.04228996809641971
M2_MACHINE,0.0,B1,20,0.02507320094178474,0.016357611537189072,0.06901577140927462,0.014783520924920843,0.03597973973644074,0.021938294860167386,0.00013391547165712467,
M2_MACHINE,0.0,B2,20,0.024157922182724122,0.014744044384083058,0.06755875786478666,0.013126603800580727,0.03607356598427859,0.017994827501700398,0.00011402029983922059,0.9986529599432826
M2_MACHINE,0.0,B2-U2,20,0.024157922182724122,0.014744044384083058,0.06755875786478666,0.012941886834728324,0.036088481044950285,0.017994827501700398,0.00011402029983922059,0.5914569301666075
M2_MACHINE,0.25,B1,20,0.025066770664702958,0.016351129536064893,0.06899980060166734,0.014197700845030418,0.037257573774127216,0.02192381446393664,0.00013386177476901428,
M2_MACHINE,0.25,B2,20,0.024157911004753202,0.014744115406330104,0.06755895078278135,0.01341395554790987,0.03515210278117178,0.017995293118241405,0.00011398460974075311,0.9986529599432826
M2_MACHINE,0.25,B2-U2,20,0.024157911004753202,0.014744115406330104,0.06755895078278135,0.012974274085839774,0.03562387050491432,0.017995293118241405,0.00011398460974075311,0.5914037575327897
M2_MACHINE,0.5,B1,20,0.025060376353028865,0.016344664669486652,0.06898392873108496,0.014352536688295987,0.036883493015551126,0.021909413551016343,0.00013380839293018694,
M2_MACHINE,0.5,B2,20,0.02415790086407506,0.014744185647321693,0.06755915604608291,0.013388842922825847,0.03710082642792738,0.017995743662874628,0.00011394928959858208,0.9986529599432826
M2_MACHINE,0.5,B2-U2,20,0.02415790086407506,0.014744185647321693,0.06755915604608291,0.013442485432938855,0.03585188397140485,0.017995743662874628,0.00011394928959858208,0.5914037575327897
M2_MACHINE,0.75,B1,20,0.025053999724468288,0.01633820079212274,0.06896810839100316,0.014075592142017987,0.036690081181883966,0.021895037390782433,0.00013375510916087394,
M2_MACHINE,0.75,B2,20,0.024157893127850424,0.014744255528169664,0.06755937996565663,0.013199210319820876,0.037042548323467796,0.017996175380779873,0.00011391429697147745,0.9986529599432826
M2_MACHINE,0.75,B2-U2,20,0.024157893127850424,0.014744255528169664,0.06755937996565663,0.012905057539957347,0.03630002294903057,0.017996175380779873,0.00011391429697147745,0.5914037575327897
M2_MACHINE,1.0,B1,20,0.025047624756202282,0.016331725422274807,0.06895229694794941,0.014564007368544536,0.0372898580552181,0.02188063940426619,0.00013370173263329053,
M2_MACHINE,1.0,B2,20,0.024157889267903025,0.01474432551801247,0.06755962912217227,0.011918088770934447,0.035405616117116644,0.017996585943287374,0.00011387958749228492,0.9986529599432826
M2_MACHINE,1.0,B2-U2,20,0.024157889267903025,0.01474432551801247,0.06755962912217227,0.012660728475968566,0.036798211172005546,0.017996585943287374,0.00011387958749228492,0.5914214817440623
M2_MACHINE,1.25,B1,20,0.025041239107249556,0.016325230577197945,0.06893646051964442,0.01427231306270396,0.037231342912080814,0.02186618504564405,0.00013364811788054977,
M2_MACHINE,1.25,B2,20,0.024157890709787102,0.014744396096281673,0.06755990942127788,0.012883133593960733,0.03586836087669173,0.017996974547031676,0.00011384512076363074,0.9986529599432826
M2_MACHINE,1.25,B2-U2,20,0.024157890709787102,0.014744396096281673,0.06755990942127788,0.013674811900624945,0.036094427213235344,0.017996974547031676,0.00011384512076363074,0.591439205955335
