split,case_id,family,m,seed,excitation,method,policy,window,cadence,TVE_fraction,TVE_percent,angle_RMSE_deg,magnitude_RMSE,complex_RMSE,p95_TVE_percent,worst_bus_TVE_percent,NLL,NEES_like,coverage50,coverage90,coverage95
TEST,M1-NETWORK_m0p0_s208_ED,M1_NETWORK,0.0,208,E-D,R1_ORACLE_RECENTERED,NA,0,0,5.824247664772838e-06,0.0005824247664772838,0.0007079056296197931,1.3199133759539943e-05,1.8147388638675475e-05,0.0017250643819056426,0.005416563859152583,,,,,
TEST,M1-NETWORK_m0p0_s208_ED,M1_NETWORK,0.0,208,E-D,R2A_ONLINE_OFFSET_ONLY,ALWAYS_RECENTER,60,1,0.00032238931138067826,0.032238931138067826,0.024502121930747807,0.00014094804639056048,0.0004526441381389663,0.11438672475589352,0.1514105200570257,-11.199020746588074,0.0470337756495307,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s208_ED,M1_NETWORK,0.0,208,E-D,R2A_ONLINE_OFFSET_ONLY,ADAPTIVE_RECENTER,60,1,0.00033737119491212696,0.0337371194912127,0.025268194229015196,0.00014933213767338925,0.00046819296765604197,0.1314761055840596,0.13471081490243397,-5.580304728470907,0.0003383187383040661,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s209_EA,M1_NETWORK,0.0,209,E-A,R0_FROZEN_B2,NA,0,0,0.0005753898812955717,0.05753898812955717,0.042723835896002066,0.00027215185726437135,0.0007979680571454194,0.22021732458237078,0.2381485698726826,,,,,
TEST,M1-NETWORK_m0p0_s209_EA,M1_NETWORK,0.0,209,E-A,R1_ORACLE_RECENTERED,NA,0,0,2.7868799162859012e-05,0.0027868799162859012,0.003692285715285778,7.536393406321283e-05,9.94935761878497e-05,0.0065480448699578,0.028284193481580563,,,,,
TEST,M1-NETWORK_m0p0_s209_EA,M1_NETWORK,0.0,209,E-A,R2A_ONLINE_OFFSET_ONLY,ALWAYS_RECENTER,60,1,0.0005468759285334693,0.054687592853346935,0.04214613845131656,0.000234880197446369,0.000776157391189355,0.19295366314529638,0.27051566622787093,-11.152350961435328,0.14037334595502482,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s209_EA,M1_NETWORK,0.0,209,E-A,R2A_ONLINE_OFFSET_ONLY,ADAPTIVE_RECENTER,60,1,0.0006216486185927413,0.06216486185927413,0.0460385974680936,0.00037897751944342915,0.0008940184000375915,0.22390179567676424,0.259878347437876,-6.792814564460049,0.11361621920384463,0.9836937256292095,0.9961006735200284,0.9985820630981921
TEST,M1-NETWORK_m0p0_s210_EB,M1_NETWORK,0.0,210,E-B,R0_FROZEN_B2,NA,0,0,1.3781407984511422e-06,0.0001378140798451142,0.0002543135690239445,4.3648875747234936e-06,6.248441325549278e-06,0.00024298610832157458,0.001678220697630715,,,,,
TEST,M1-NETWORK_m0p0_s210_EB,M1_NETWORK,0.0,210,E-B,R1_ORACLE_RECENTERED,NA,0,0,1.3781407984511422e-06,0.0001378140798451142,0.0002543135690239445,4.3648875747234936e-06,6.248441325549278e-06,0.00024298610832157458,0.001678220697630715,,,,,
TEST,M1-NETWORK_m0p0_s210_EB,M1_NETWORK,0.0,210,E-B,R2A_ONLINE_OFFSET_ONLY,ALWAYS_RECENTER,60,1,2.6901672168002484e-05,0.002690167216800248,0.0024146190719261844,4.360178720944555e-05,6.093841750667698e-05,0.009775210818349369,0.015376558585295286,-11.222189861675906,0.000695545473868466,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s210_EB,M1_NETWORK,0.0,210,E-B,R2A_ONLINE_OFFSET_ONLY,ADAPTIVE_RECENTER,60,1,1.3781407984511422e-06,0.0001378140798451142,0.0002543135690239445,4.3648875747234936e-06,6.248441325549278e-06,0.00024298610832157458,0.001678220697630715,-5.580473845034927,8.561026469163703e-08,1.0,1.0,1.0
