case_id,family,m,seed,TVE_fraction_N0,TVE_fraction_O1,TVE_fraction_O2,angle_RMSE_deg_N0,angle_RMSE_deg_O1,angle_RMSE_deg_O2,Excess_N0_TVE_fraction,Excess_O1_TVE_fraction,Excess_O2_TVE_fraction,Recovery_Recenter_TVE_fraction,Recovery_Relinearize_TVE_fraction,Excess_N0_angle_RMSE_deg,Excess_O1_angle_RMSE_deg,Excess_O2_angle_RMSE_deg,Recovery_Recenter_angle_RMSE_deg,Recovery_Relinearize_angle_RMSE_deg
M6-OPERATING-POINT_m0p5_s1,M6_OPERATING_POINT,0.5,1,0.0003571492604985,6.56843676814874e-08,5.05491921292725e-08,0.0267949437639571,8.272363284705918e-06,6.818627415229769e-06,0.0003570949816871,1.1405556333844148e-08,-3.729619218370754e-09,0.9999680601606892,1.0000104443338875,0.026787618647027,9.472463545431052e-07,-5.064895149330441e-07,0.9999646386501532,1.0000189075976331
M6-OPERATING-POINT_m0p5_s2,M6_OPERATING_POINT,0.5,2,0.0003571526335896,7.551094188082022e-08,5.8097169626931e-08,0.0267954327209054,9.512822465844043e-06,7.840984093892723e-06,0.0003570983547783,2.1232130533176972e-08,3.8183582792877365e-09,0.9999405426257246,0.9999893072644324,0.0267881076039753,2.18770553568123e-06,5.158671637299095e-07,0.9999183329569964,0.9999807426798728
M6-OPERATING-POINT_m1p0_s1,M6_OPERATING_POINT,1.0,1,0.0007141397099079,9.021938921808077e-08,5.059069491813303e-08,0.0535807642311357,1.0098401746458028e-05,6.823018964984927e-06,0.0007140854310965,3.5940577870437525e-08,-3.688116429510228e-09,0.9999496690783688,1.000005164811196,0.0535734391142055,2.773284816295215e-06,-5.020979651778862e-07,0.9999482339595488,1.0000093721436123
M6-OPERATING-POINT_m1p0_s2,M6_OPERATING_POINT,1.0,2,0.0007141434955085,1.0373413829233921e-07,5.8144874561954594e-08,0.053581324739921,1.1612825932492116e-05,7.846032999662445e-06,0.0007140892166972,4.945532694469593e-08,3.8660632143113404e-09,0.9999307434900454,0.999994586022133,0.0535739996229908,4.287709002329304e-06,5.209160694996318e-07,0.9999199666063296,0.9999902767000192
M6-OPERATING-POINT_m1p5_s1,M6_OPERATING_POINT,1.5,1,0.0010709994192564,1.1741398385679417e-07,5.0632407436810755e-08,0.0803606741761006,1.2124608411192752e-05,6.827437727980244e-06,0.0010709451404451,6.313517250915091e-08,-3.646403910832505e-09,0.9999410472393732,1.0000034048465911,0.0803533490591705,4.799491481029939e-06,-4.976792021825687e-07,0.9999402701749556,1.0000061936335949
M6-OPERATING-POINT_m1p5_s2,M6_OPERATING_POINT,1.5,2,0.0010710036170357,1.350108471149097e-07,5.8192805533873774e-08,0.0803613058528376,1.3943022231441116e-05,7.851111247920134e-06,0.0010709493382244,8.073203576726644e-08,3.9139941862305134e-09,0.99992461638204,0.9999963453040712,0.0803539807359074,6.617905301278303e-06,5.259943177573205e-07,0.999917640604228,0.9999934540353452
M7-COUPLED_m0p5_s1,M7_COUPLED,0.5,1,4.722074300768992e-05,8.033782688162796e-08,4.8350053126237065e-08,0.0019299382309883,7.907664730314786e-06,6.592949619246264e-06,4.716646419634228e-05,2.6059015533984707e-08,-5.928758221406189e-09,0.9994475096664972,1.000125698593745,0.0019226131140581,5.825478001519726e-07,-7.321673109165487e-07,0.9996970020666704,1.000380818847829
M7-COUPLED_m0p5_s2,M7_COUPLED,0.5,2,4.722904536116656e-05,9.236938946376133e-08,5.556923681249482e-08,0.0019301461474208,9.093490873860428e-06,7.581466164788447e-06,4.717476654981892e-05,3.8090578116118064e-08,1.2904254648515556e-09,0.999192564565722,0.9999726458537216,0.0019228210304907,1.7683739436976154e-06,2.5634923462563385e-07,0.9990803231732668,0.9998666806579704
M7-COUPLED_m1p0_s1,M7_COUPLED,1.0,1,9.443276478333422e-05,1.223956012883399e-07,4.635356558176648e-08,0.0038578272436993,9.20301059911979e-06,6.3852581259479714e-06,9.437848597198657e-05,6.811678994069662e-08,-7.92524576587677e-09,0.9992782593486303,1.0000839730123263,0.0038505021267692,1.8778936689569776e-06,-9.398588042148416e-07,0.99951229901786,1.0002440873354363
M7-COUPLED_m1p0_s2,M7_COUPLED,1.0,2,9.444809386459832e-05,1.407427445976998e-07,5.327436528752836e-08,0.0038580863503317,1.0583215338353586e-05,7.342628394118605e-06,9.439381505325068e-05,8.646393325005656e-08,-1.004446060114891e-09,0.999084008489314,1.0000106410156169,0.0038507612334016,3.2580984081907725e-06,1.7511463955791993e-08,0.99915390796502,0.9999954524669554
